Suburb,BuildingArea,Latitude,Longitude
Yarraville,147.0,-37.8228,144.8799
Keysborough,126.0,-37.98916,145.17233
Maribyrnong,185.0,-37.78606,144.88459
Pascoe Vale,132.0,-37.7187,144.9514
South Yarra,64.0,-37.84679,145.00206
Brighton East,177.0,-37.9187,145.0071
Altona,106.0,-37.85993,144.8176
South Morang,174.0,-37.63931,145.06568
Burwood,212.0,-37.8597,145.1084
Melbourne,80.0,-37.8106,144.9646
Richmond,99.0,-37.821,145.0054
Brunswick,96.0,-37.7661,144.9691
Hadfield,245.0,-37.70618,144.94787
Preston,74.0,-37.7306,144.9993
Glenroy,118.0,-37.6972,144.9431
Blackburn,292.0,-37.82825,145.15816
Bentleigh East,227.0,-37.93227,145.06377
Coburg,125.0,-37.7525,144.948
Burwood,196.0,-37.8518,145.1278
Hadfield,134.0,-37.7106,144.9491
Sunshine West,130.0,-37.7902,144.8102
Port Melbourne,182.0,-37.83898,144.92723
Pascoe Vale,95.0,-37.7306,144.9357
Maidstone,69.0,-37.7795,144.8729
Pascoe Vale,263.0,-37.72565,144.94954
Braybrook,110.0,-37.77998,144.85338
Watsonia,124.0,-37.7137,145.0778
Meadow Heights,112.0,-37.64769,144.91359
Coburg,72.0,-37.752,144.954
Seddon,111.0,-37.8051,144.8858
Murrumbeena,178.0,-37.906,145.074
Epping,143.0,-37.64907,145.04282
Abbotsford,85.0,-37.808,144.994
St Albans,172.0,-37.72843,144.78999
Balwyn North,102.0,-37.7938,145.0666
Richmond,90.0,-37.833,144.997
Balwyn North,155.0,-37.79466,145.06564
Essendon,145.0,-37.7397,144.898
Tarneit,0.0,-37.84743,144.71243
Avondale Heights,141.0,-37.7687,144.8602
Brunswick East,107.0,-37.77747,144.97168
Glen Iris,140.0,-37.8542,145.0733
Preston,103.0,-37.73443,145.00201
Fitzroy,71.0,-37.7941,144.9802
Maidstone,121.0,-37.7874,144.8763
Viewbank,166.0,-37.73298,145.08894
Templestowe,188.0,-37.75289,145.12826
Port Melbourne,151.0,-37.83452,144.93586
Werribee,114.0,-37.8833,144.66801
Greensborough,130.0,-37.71846,145.09689
Niddrie,242.0,-37.7387,144.8827
Fawkner,115.0,-37.7194,144.9678
Greensborough,180.0,-37.69672,145.09791
Yarraville,128.0,-37.81279,144.87717
St Kilda,183.0,-37.8624,144.9768
Jacana,87.0,-37.68908,144.9116
Footscray,130.0,-37.7943,144.8875
Hoppers Crossing,129.0,-37.8835,144.68447
Ormond,93.0,-37.9018,145.0477
Chadstone,151.0,-37.88304,145.0969
Sunshine West,109.0,-37.8023,144.8227
Kew East,83.0,-37.7969,145.0511
Bentleigh East,160.0,-37.9193,145.0691
Camberwell,150.0,-37.8442,145.08142
Eaglemont,225.0,-37.7674,145.0518
Doncaster East,200.0,-37.79561,145.16268
Chadstone,94.0,-37.88093,145.10574
Malvern East,155.0,-37.8777,145.0608
Beaumaris,252.0,-37.9904,145.03871
Abbotsford,93.0,-37.80864,144.99386
Toorak,82.0,-37.8424,145.0184
Doncaster,106.0,-37.7863,145.106
Richmond,88.0,-37.8245,144.9933
Coburg,95.0,-37.736,144.9665
Northcote,257.0,-37.7813,145.0065
Burwood,253.0,-37.848,145.098
Brighton East,145.0,-37.9268,145.0094
Middle Park,146.0,-37.8496,144.963
Surrey Hills,101.0,-37.8275,145.1032
West Footscray,143.0,-37.7969,144.8647
Brunswick West,42.0,-37.7748,144.9483
Airport West,73.0,-37.7298,144.8883
Craigieburn,200.0,-37.58893,144.9224
Airport West,113.0,-37.7226,144.8733
Broadmeadows,110.0,-37.69237,144.93144
Broadmeadows,86.0,-37.69412,144.92005
Coburg North,231.0,-37.7308,144.9836
Epping,166.0,-37.63878,145.05577
Sunshine,94.0,-37.79595,144.83206
Boronia,100.0,-37.84889,145.29539
Prahran,85.0,-37.8557,145.0053
South Melbourne,78.0,-37.8308,144.9694
Croydon,156.0,-37.79318,145.25811
Richmond,92.0,-37.8235,145.0035
North Melbourne,65.0,-37.80248,144.94846
Bentleigh,233.0,-37.92098,145.02422
Preston,85.0,-37.733,144.9961
South Yarra,48.0,-37.8427,145.0006
Airport West,145.0,-37.7203,144.8755
Newport,146.0,-37.8433,144.8774
Albert Park,54.0,-37.8411,144.9497
Elsternwick,181.0,-37.8912,145.0138
Tarneit,142.0,-37.84869,144.66707
Heidelberg,222.0,-37.7539,145.0577
Strathmore,158.0,-37.7411,144.9262
Hampton,85.0,-37.939,145.0137
Avondale Heights,106.0,-37.7691,144.8575
Richmond,92.0,-37.8116,145.0042
Carlton,67.0,-37.7969,144.9742
Coburg,107.0,-37.73369,144.95599
Hawthorn East,50.0,-37.8327,145.05428
Flemington,96.0,-37.78363,144.92997
Middle Park,125.0,-37.8474,144.9582
Westmeadows,142.0,-37.67823,144.90002
Coburg North,105.0,-37.7236,144.9576
Viewbank,215.0,-37.74127,145.08848
Williamstown,35.64,-37.85588,144.89936
Heidelberg West,88.0,-37.746,145.0422
Coburg,97.0,-37.73883,144.95321
Moorabbin,68.0,-37.9363,145.0564
South Morang,230.0,-37.6489,145.0968
Brighton East,77.0,-37.90514,145.02524
Oak Park,137.0,-37.7161,144.9165
Brunswick West,105.0,-37.75744,144.94945
Pascoe Vale,120.0,-37.7302,144.92928
Taylors Hill,236.0,-37.715,144.74771
South Yarra,53.0,-37.8356,144.9767
St Kilda,105.0,-37.8686,144.9812
Balwyn,97.0,-37.8124,145.0916
Heidelberg West,81.0,-37.7369,145.0371
Flemington,104.0,-37.78446,144.92797
Derrimut,210.0,-37.78774,144.76019
West Footscray,131.0,-37.80735,144.87361
Brighton,35.0,-37.9041,144.9993
Thornbury,159.0,-37.7595,145.0017
Altona,132.0,-37.871,144.81153
Montmorency,138.0,-37.72089,145.11987
Craigieburn,143.0,-37.57869,144.91069
Keilor East,113.0,-37.74695,144.86625
Bayswater North,193.0,-37.82778,145.28958
Croydon South,199.0,-37.8163,145.2785
Northcote,10.0,-37.7766,144.9988
Mount Waverley,171.0,-37.8655,145.12065
Brunswick West,155.0,-37.7519,144.9324
Essendon,195.0,-37.75238,144.92249
Parkdale,124.0,-37.99464,145.08099
Fairfield,112.0,-37.77662,145.02288
Balwyn North,244.0,-37.796,145.0984
Balwyn North,175.0,-37.796,145.0696
Donvale,280.0,-37.7741,145.18
Hampton,197.0,-37.94311,145.01272
Niddrie,105.0,-37.73771,144.88654
South Melbourne,53.0,-37.83087,144.96864
Rosanna,141.0,-37.7342,145.0658
Glen Iris,169.0,-37.84949,145.07726
Brunswick West,141.0,-37.7525,144.9321
Kew,121.0,-37.8063,145.0179
Bentleigh East,116.0,-37.92083,145.07083
Northcote,133.0,-37.7721,145.0006
Ashwood,205.0,-37.86096,145.10026
Balaclava,58.0,-37.8742,144.9972
Carnegie,170.0,-37.8982,145.0488
Glen Iris,176.0,-37.8529,145.0605
Doncaster,160.0,-37.7795,145.1294
Murrumbeena,167.0,-37.8932,145.0681
Collingwood,190.0,-37.8032,144.9842
Carnegie,68.0,-37.8959,145.0639
Airport West,30.0,-37.72483,144.87087
Richmond,40.0,-37.8242,145.0026
Balwyn,200.0,-37.8032,145.0693
Coburg,164.0,-37.7546,144.9713
Heidelberg Heights,85.0,-37.73765,145.05405
Middle Park,82.0,-37.8498,144.9628
Ringwood,106.0,-37.82136,145.22497
Mount Waverley,139.0,-37.86824,145.128
Newport,146.0,-37.8402,144.8886
Hampton,99.0,-37.93538,145.00224
Prahran,87.0,-37.8581,145.0017
Kings Park,112.0,-37.731,144.77387
Point Cook,259.0,-37.90381,144.73973
Epping,135.0,-37.64249,145.05521
Yarraville,127.0,-37.822,144.8904
Northcote,65.0,-37.7828,145.0096
Glen Iris,123.0,-37.8541,145.051
Brunswick,101.0,-37.75746,144.95633
Glen Waverley,138.0,-37.8963,145.1559
Niddrie,163.0,-37.73435,144.8768
Kew,108.0,-37.80593,145.05121
Deer Park,126.0,-37.77475,144.75653
Greensborough,197.0,-37.69216,145.11166
Kew,62.0,-37.80468,145.03614
Thornbury,212.0,-37.7575,144.9968
Broadmeadows,150.0,-37.6848,144.9334
Bayswater,168.0,-37.85255,145.25799
Richmond,80.0,-37.8215,145.0054
Keysborough,160.0,-37.98588,145.16307
Elsternwick,180.0,-37.88319,145.01142
Brighton,262.0,-37.92798,144.9948
Melbourne,102.0,-37.8132,144.9545
Brunswick West,126.0,-37.7676,144.94559
Altona,139.0,-37.86837,144.81502
Mill Park,104.0,-37.65218,145.05929
Cheltenham,137.0,-37.97307,145.05446
Moonee Ponds,190.0,-37.7701,144.9287
Strathmore,180.0,-37.7369,144.9251
Elwood,84.0,-37.883,144.9916
Hoppers Crossing,205.0,-37.86821,144.69566
Armadale,108.0,-37.8559,145.0158
Albert Park,64.0,-37.8487,144.9511
Dallas,97.0,-37.66781,144.93809
Preston,159.0,-37.75026,144.98428
Fitzroy North,60.0,-37.78673,144.97899
South Yarra,41.0,-37.8415,144.991
Keilor Park,130.0,-37.7219,144.85239
Heidelberg Heights,83.0,-37.747,145.0575
Murrumbeena,160.0,-37.8958,145.0696
Thornbury,152.0,-37.7569,145.0041
Brunswick,88.0,-37.7704,144.9504
Altona,268.0,-37.8721,144.8105
Glen Iris,63.0,-37.8567,145.0435
Gowanbrae,139.0,-37.709,144.8964
Essendon,47.0,-37.75121,144.91326
Kew,141.0,-37.8064,145.0182
Prahran,104.0,-37.8481,144.9869
Epping,216.0,-37.62765,145.03726
Blackburn South,103.0,-37.83574,145.14866
Murrumbeena,162.0,-37.8899,145.0704
Ascot Vale,120.0,-37.7746,144.9031
Taylors Hill,231.0,-37.71594,144.7415
Heidelberg Heights,79.0,-37.7428,145.0557
Carnegie,180.0,-37.90248,145.05943
Box Hill,106.0,-37.8247,145.1206
Fitzroy North,150.0,-37.77931,144.98197
Mont Albert,117.0,-37.8173,145.1123
Bentleigh East,168.0,-37.912,145.0752
Ashburton,233.0,-37.86688,145.06925
Carnegie,116.0,-37.8889,145.0495
Malvern East,152.0,-37.8718,145.0404
Armadale,66.23,-37.8624,145.0223
Bentleigh,114.0,-37.92999,145.04932
Greensborough,95.0,-37.69039,145.09753
Essendon,113.0,-37.7418,144.8977
South Yarra,118.0,-37.8416,144.9923
Carnegie,270.0,-37.8975,145.0478
Essendon,257.0,-37.7558,144.9073
Caulfield South,121.0,-37.8874,145.019
Albion,153.0,-37.7809,144.8228
Bentleigh East,115.0,-37.93574,145.06169
Aspendale,142.0,-38.02416,145.11053
Dandenong,130.0,-38.00074,145.20956
Fitzroy North,116.0,-37.7779,144.9862
Fitzroy,90.0,-37.7953,144.9775
West Melbourne,207.0,-37.8076,144.9456
Hawthorn East,95.0,-37.8414,145.0505
Ivanhoe,240.0,-37.7571,145.05
Croydon Hills,178.0,-37.78021,145.26367
Rowville,196.0,-37.9088,145.26319
Flemington,96.0,-37.788,144.9306
Point Cook,232.0,-37.89247,144.73598
Mitcham,170.0,-37.81521,145.18727
Hawthorn East,94.0,-37.81883,145.05694
Doncaster,160.0,-37.7932,145.1275
Carlton,63.0,-37.7986,144.9682
Forest Hill,136.0,-37.8328,145.17944
Keilor East,130.0,-37.7362,144.8643
Bentleigh,220.0,-37.9294,145.041
Box Hill,108.0,-37.8275,145.1232
Brunswick West,45.0,-37.7586,144.9433
Ascot Vale,155.0,-37.7769,144.9138
Glenroy,88.0,-37.7067,144.9331
Yallambie,122.0,-37.7303,145.0823
Greensborough,290.0,-37.69817,145.12852
Jacana,98.0,-37.68988,144.91113
Bentleigh East,196.0,-37.9147,145.0751
South Yarra,40.0,-37.8444,145.0037
Melbourne,51.0,-37.8111,144.9715
Coburg,176.0,-37.7546,144.9713
Richmond,115.0,-37.815,145.008
Fitzroy North,103.0,-37.7839,144.9807
Thornbury,102.0,-37.7569,144.9914
Caulfield South,218.0,-37.8971,145.03477
Port Melbourne,153.0,-37.8381,144.9329
Strathmore,189.0,-37.73797,144.92455
Ringwood East,111.0,-37.82453,145.26356
Moorabbin,79.0,-37.9355,145.0485
Altona North,100.0,-37.8262,144.8443
South Melbourne,153.0,-37.836,144.965
Abbotsford,101.0,-37.8023,144.99615
Lalor,120.0,-37.67295,145.03516
Mulgrave,224.0,-37.92979,145.2036
Rosanna,207.0,-37.7395,145.0773
Hughesdale,126.0,-37.9072,145.0762
Dallas,281.0,-37.66746,144.9395
Essendon,135.0,-37.755,144.9272
Hawthorn East,198.0,-37.8219,145.0556
Ormond,137.0,-37.9061,145.0478
Dingley Village,168.0,-37.98145,145.12834
Ascot Vale,270.0,-37.7729,144.9179
McKinnon,96.0,-37.90978,145.02937
Williamstown North,141.0,-37.857,144.8846
Newport,100.0,-37.8457,144.8651
Hoppers Crossing,137.0,-37.86569,144.69104
Maribyrnong,204.0,-37.77413,144.87533
Murrumbeena,108.0,-37.9059,145.0733
Kingsville,172.0,-37.8078,144.8825
Port Melbourne,71.0,-37.8424,144.9449
Richmond,193.0,-37.8268,145.0129
Brighton,161.0,-37.91068,145.00394
Greensborough,168.0,-37.71636,145.09792
Oakleigh South,226.0,-37.9413,145.0957
Carnegie,221.0,-37.8916,145.0543
Braybrook,154.0,-37.7908,144.8485
Coburg,110.0,-37.7427,144.952
West Footscray,131.0,-37.7906,144.8687
Toorak,118.0,-37.8448,145.0055
Mill Park,135.0,-37.65807,145.06132
Templestowe Lower,260.0,-37.7694,145.1222
St Kilda,52.0,-37.8676,144.9901
Carnegie,64.0,-37.8889,145.048
Bentleigh East,95.0,-37.9255,145.0796
Brighton,110.0,-37.88879,144.99833
Elwood,33.0,-37.8749,144.9842
Glen Iris,44.0,-37.85702,145.04801
Epping,98.0,-37.6346,145.0386
Ascot Vale,90.0,-37.7718,144.9066
Bentleigh East,120.0,-37.9303,145.0805
Glen Iris,134.0,-37.852,145.0942
St Kilda,95.0,-37.8617,144.9796
Doncaster East,130.52,-37.78541,145.15493
Armadale,106.0,-37.8542,145.0149
Nunawading,173.0,-37.80715,145.18287
Yarraville,170.0,-37.811,144.8889
Meadow Heights,98.0,-37.65702,144.92447
Glen Iris,155.0,-37.8561,145.0934
Bentleigh East,132.0,-37.9257,145.0811
Richmond,72.0,-37.82324,145.01331
Rosanna,124.0,-37.74351,145.07965
