Suburb,BuildingArea,Latitude,Longitude,Price_USD
Abbotsford,79.0,-37.8079,144.9934,776250.0
Abbotsford,150.0,-37.8093,144.9944,1098750.0
Abbotsford,142.0,-37.8072,144.9941,1200000.0
Abbotsford,210.0,-37.8024,144.9993,1407000.0
Abbotsford,107.0,-37.806,144.9954,1227000.0
Abbotsford,75.0,-37.801,144.9989,822750.0
Abbotsford,190.0,-37.8085,144.9964,1012500.0
Abbotsford,94.0,-37.8078,144.9965,562500.0
Abbotsford,97.0,-37.809,144.9976,982500.0
Abbotsford,110.0,-37.8056,144.993,900000.0
Abbotsford,105.0,-37.8021,144.9965,882375.0
Abbotsford,73.0,-37.8011,145.0004,667500.0
Abbotsford,135.0,-37.8073,144.9952,997500.0
Abbotsford,60.0,-37.8015,144.9972,375000.0
Abbotsford,135.0,-37.8079,144.9977,825000.0
Abbotsford,85.0,-37.808,144.994,986250.0
Abbotsford,174.0,-37.8017,145.0001,1085625.0
Abbotsford,128.0,-37.8005,144.9952,851250.0
Abbotsford,124.0,-37.8007,144.9958,967500.0
Abbotsford,50.0,-37.8055,144.9961,352500.0
Abbotsford,91.0,-37.8016,144.9956,885000.0
Abbotsford,128.0,-37.8022,144.9954,896250.0
Abbotsford,82.0,-37.8021,144.9976,759375.0
Abbotsford,81.0,-37.8086,144.9946,772500.0
Airport West,225.0,-37.718,144.878,630000.0
Airport West,145.0,-37.7203,144.8755,547500.0
Airport West,145.0,-37.7203,144.8755,577500.0
Airport West,84.0,-37.7294,144.888,452250.0
Airport West,134.0,-37.7218,144.8837,525000.0
Airport West,116.0,-37.7273,144.8744,450000.0
Airport West,86.0,-37.7215,144.8864,375000.0
Airport West,186.0,-37.7239,144.8735,543750.0
Airport West,90.0,-37.7216,144.871,337500.0
Airport West,73.0,-37.7298,144.8883,386250.0
Airport West,94.0,-37.7234,144.8792,397500.0
Airport West,105.0,-37.7217,144.8783,603750.0
Airport West,130.0,-37.7302,144.8855,564000.0
Airport West,133.0,-37.727,144.887,525000.0
Airport West,113.0,-37.7186,144.876,622500.0
Airport West,100.0,-37.7187,144.8765,506250.0
Airport West,192.0,-37.7285,144.8694,607500.0
Airport West,126.0,-37.7164,144.8792,536250.0
Airport West,101.0,-37.7231,144.8802,405000.0
Airport West,102.0,-37.72,144.8776,618750.0
Airport West,113.0,-37.7226,144.8733,513750.0
Airport West,146.0,-37.7256,144.8739,675000.0
Albert Park,82.0,-37.8459,144.9555,956250.0
Albert Park,133.0,-37.8452,144.9488,1387500.0
